INLINE ClassLevelUpSkillTable,Skill Pointer
0x00 Separator/Nothing,0x0
Schwarze Lord,SchwarzeLordSkillList|IsPointer
Noir Lord,NoirLordSkillList|IsPointer
Ephraim Master Lord,EphraimGreatLordSkillList|IsPointer
Eirika Master Lord,EirikaGreatLordSkillList|IsPointer
Cavalier,CavalierSkillList|IsPointer
Cavalier (F),CavalierSkillList|IsPointer
Paladin,PaladinSkillList|IsPointer
Paladin (F),PaladinSkillList|IsPointer
Armour Knight,KnightSkillList|IsPointer
Armour Knight (F),KnightSkillList|IsPointer
General,GeneralSkillList|IsPointer
General (F),GeneralSkillList|IsPointer
Thief,ThiefSkillList|IsPointer
Manakete,0x0
Mercenary,MercenarySkillList|IsPointer
Mercenary (F),MercenarySkillList|IsPointer
Hero,HeroSkillList|IsPointer
Hero (F),HeroSkillList|IsPointer
Myrmidon,MyrmidonSkillList|IsPointer
Myrmidon (F),MyrmidonSkillList|IsPointer
Swordmaster,SwordmasterSkillList|IsPointer
Swordmaster (F),SwordmasterSkillList|IsPointer
Assassin,AssassinSkillList|IsPointer
Assassin (F),AssassinSkillList|IsPointer
Archer,ArcherSkillList|IsPointer
Archer (F),ArcherSkillList|IsPointer
Sniper,SniperSkillList|IsPointer
Sniper (F),SniperSkillList|IsPointer
Ranger,RangerSkillList|IsPointer
Ranger (F),RangerSkillList|IsPointer
Wyvern Rider,WyvernRiderSkillList|IsPointer
Wyvern Rider (F),WyvernRiderSkillList|IsPointer
Wyvern Lord,WyvernLordSkillList|IsPointer
Wyvern Lord (F),WyvernLordSkillList|IsPointer
Wyvern Knight,WyvernKnightSkillList|IsPointer
Wyvern Knight (F),WyvernKnightSkillList|IsPointer
Mage,MageSkillList|IsPointer
Mage (F),MageSkillList|IsPointer
Sage,SageSkillList|IsPointer
Sage (F),SageSkillList|IsPointer
Mage Knight,MageKnightSkillList|IsPointer
Mage Knight (F),MageKnightSkillList|IsPointer
Bishop,BishopSkillList|IsPointer
Bishop (F),BishopSkillList|IsPointer
Shaman,ShamanSkillList|IsPointer
Shaman (F),ShamanSkillList|IsPointer
Druid,DruidSkillList|IsPointer
Druid (F),DruidSkillList|IsPointer
Summoner,SummonerSkillList|IsPointer
Summoner (F),SummonerSkillList|IsPointer
Rogue,RogueSkillList|IsPointer
Gorgon Egg,0x0
Juggernaut,JuggernautSkillList|IsPointer
Juggernaut (F),JuggernautSkillList|IsPointer
Halberdier,0x0
Journeyman (3),0x0
Pupil (3),0x0
Recruit (3),0x0
Manakete,0x0
Manakete (F),ManaketeFSkillList|IsPointer
Wyvern Rider (Axe),0x0
Wyvern Rider (Axe)(F),0x0
Fighter,FighterSkillList|IsPointer
Warrior,WarriorSkillList|IsPointer
Brigand,BrigandSkillList|IsPointer
Pirate,PirateSkillList|IsPointer
Berserker,BerserkerSkillList|IsPointer
Monk,MonkSkillList|IsPointer
Priest,PriestSkillList|IsPointer
Bard,0x0
Halberdier (F),0x0
Pegasus Knight,PegKnightSkillList|IsPointer
Falcon Knight,FalcoknightSkillList|IsPointer
Cleric,ClericSkillList|IsPointer
Troubadour,TroubadourSkillList|IsPointer
Valkyrie,ValkyrieSkillList|IsPointer
Dancer,DancerSkillList|IsPointer
Soldier,SoldierSkillList|IsPointer
Necromancer,NecromancerSkillList|IsPointer
Fighter (F),FighterSkillList|IsPointer
Phantom,PhantomSkillList|IsPointer
Revenant,0x0
Entombed,0x0
Bonewalker,0x0
Bonewalker (Bow),0x0
Wight,0x0
Wight (Bow),0x0
Bael,0x0
Elder Bael,0x0
Cyclops,0x0
Mauthe Doog,0x0
Gwyllgi,0x0
Tarvos,0x0
Maelduin,0x0
Mogall,0x0
Arch Mogall,0x0
